j,23:33:28,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/pichu.gif
gwe,23:55:05,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/spearow.gif
wegio,00:03:00,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/togepi.gif
be,00:03:02,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/vulpix.gif
ge,00:03:02,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/pidgey.gif
aw,00:03:03,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/cleffa.gif
fwe,00:03:04,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/togepi.gif
ga,00:03:05,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/smoochum.gif
gaq,00:03:06,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/nidoran.gif
ehr,00:03:06,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/igglybuff.gif
a,00:11:58,1,14,0.0009000000000000001,
b,00:12:04,1,15,0.003,
c,00:12:05,1,23,0.0073,
d,00:12:05,1,1,0.0,
e,00:12:06,0,56,0.0225,
f,00:12:06,1,1,0.0,
g,00:12:07,1,0,0.0,
h,00:12:08,0,53,0.040600000000000004,
i,00:12:09,1,17,0.0028000000000000004,
jk,00:12:16,0,46,0.029800000000000004,
l,00:12:18,0,45,0.0216,
m,00:12:19,1,16,0.0034000000000000002,
n,00:12:23,0,42,0.020700000000000003,
o,00:12:24,0,41,0.0158,
p,00:12:24,0,40,0.0171,
q,00:12:25,0,39,0.018000000000000002,
r,00:12:26,1,9,0.0016,
s,00:12:26,0,38,0.0214,
t,00:12:27,0,37,0.023,
u,00:12:28,0,36,0.0159,
v,00:12:29,0,35,0.021,
w,00:12:30,0,34,0.01,
