a,23:33:13,1,60,0.051000000000000004,
b,23:33:14,2,15,0.0034000000000000002,
c,23:33:15,2,21,0.0072,
d,23:33:17,2,42,0.0338,
e,23:33:19,2,0,0.0,
f,23:33:20,1,28,0.0168,
g,23:33:20,2,17,0.009800000000000001,
h,23:33:22,1,41,0.0388,
i,23:33:24,1,43,0.06359999999999999,
j,23:33:28,2,17,0.002,
gw,21:15:15,0,22,0.014,
hre,21:15:21,0,18,0.0014000000000000002,
aw,21:15:22,0,17,0.010400000000000001,
t,21:15:22,0,17,0.0086,
ew,21:15:23,0,16,0.0034000000000000002,
q,21:15:23,0,16,0.004200000000000001,
th,21:15:24,0,15,0.0028000000000000004,
adsg,21:15:24,0,15,0.005600000000000001,
