a,23:33:13,1,68,0.0762,
b,23:33:14,2,23,0.0078000000000000005,
c,23:33:15,2,29,0.0072,
d,23:33:17,2,50,0.0794,
e,23:33:19,2,9,0.0,
f,23:33:20,2,1,0.0,
g,23:33:20,2,26,0.0188,
h,23:33:22,2,3,0.0004,
i,23:33:24,1,52,0.09299999999999999,
j,23:33:28,2,26,0.015200000000000002,
gw,21:15:15,0,31,0.0184,
hre,21:15:21,1,0,0.0,
aw,21:15:22,0,25,0.018000000000000002,
t,21:15:22,0,25,0.029200000000000004,
ew,21:15:23,0,24,0.0114,
q,21:15:23,0,24,0.0158,
th,21:15:24,0,23,0.009600000000000001,
adsg,21:15:24,0,23,0.012400000000000001,
